ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Cluster
GO:0003824,4,26.666666666666668,catalytic activity,MF,GO:0004407,histone deacetylase activity,5,1,0.02,0.024,Molecular_Function,pdam_00003714,Cluster_4
GO:0003824,4,26.666666666666668,catalytic activity,MF,GO:0019104,DNA N-glycosylase activity,7,1,0.03,0.033,Molecular_Function,pdam_00015787,Cluster_4
GO:0003824,4,26.666666666666668,catalytic activity,MF,GO:0004129,cytochrome-c oxidase activity,8,1,0.04,0.038,Molecular_Function,"pdam_00002402,pdam_00011997",Cluster_4
GO:0003824,4,26.666666666666668,catalytic activity,MF,GO:0008641,ubiquitin-like modifier activating enzyme activity,9,1,0.04,0.042,Molecular_Function,pdam_00018214,Cluster_4
GO:0005215,1,6.666666666666667,transporter activity,MF,GO:0004129,cytochrome-c oxidase activity,8,1,0.04,0.038,Molecular_Function,"pdam_00002402,pdam_00011997",Cluster_4
GO:0008289,1,6.666666666666667,lipid binding,MF,GO:1901981,phosphatidylinositol phosphate binding,5,1,0.02,0.024,Molecular_Function,pdam_00004236,Cluster_4
GO:0016491,1,6.666666666666667,oxidoreductase activity,MF,GO:0004129,cytochrome-c oxidase activity,8,1,0.04,0.038,Molecular_Function,"pdam_00002402,pdam_00011997",Cluster_4
GO:0016787,2,13.333333333333334,hydrolase activity,MF,GO:0004407,histone deacetylase activity,5,1,0.02,0.024,Molecular_Function,pdam_00003714,Cluster_4
GO:0016787,2,13.333333333333334,hydrolase activity,MF,GO:0019104,DNA N-glycosylase activity,7,1,0.03,0.033,Molecular_Function,pdam_00015787,Cluster_4
GO:0016874,1,6.666666666666667,ligase activity,MF,GO:0008641,ubiquitin-like modifier activating enzyme activity,9,1,0.04,0.042,Molecular_Function,pdam_00018214,Cluster_4
GO:0140096,2,13.333333333333334,"catalytic activity, acting on a protein",MF,GO:0004407,histone deacetylase activity,5,1,0.02,0.024,Molecular_Function,pdam_00003714,Cluster_4
GO:0140096,2,13.333333333333334,"catalytic activity, acting on a protein",MF,GO:0008641,ubiquitin-like modifier activating enzyme activity,9,1,0.04,0.042,Molecular_Function,pdam_00018214,Cluster_4
GO:0140097,1,6.666666666666667,"catalytic activity, acting on DNA",MF,GO:0019104,DNA N-glycosylase activity,7,1,0.03,0.033,Molecular_Function,pdam_00015787,Cluster_4
GO:0140657,1,6.666666666666667,ATP-dependent activity,MF,GO:0008641,ubiquitin-like modifier activating enzyme activity,9,1,0.04,0.042,Molecular_Function,pdam_00018214,Cluster_4
GO:0005886,1,100,plasma membrane,CC,GO:0005834,heterotrimeric G-protein complex,5,1,0.03,0.034,Cellular_Component,pdam_00016580,Cluster_4
NA,NA,NA,NA,CC,GO:0032040,small-subunit processome,7,1,0.05,0.047,Cellular_Component,pdam_00001610,Cluster_4
NA,NA,NA,NA,BP,GO:0070925,organelle assembly,45,3,0.2,0.0082,Biological_Process,"pdam_00004236,pdam_00012554,pdam_00012697,pdam_00018734,pdam_00020289",Cluster_4
NA,NA,NA,NA,BP,GO:0032446,protein modification by small protein conjugation,57,2,0.25,0.0127,Biological_Process,"pdam_00008393,pdam_00008969,pdam_00009070,pdam_00010556,pdam_00011995,pdam_00012736,pdam_00018214,pdam_00023261",Cluster_4
NA,NA,NA,NA,BP,GO:0018205,peptidyl-lysine modification,6,1,0.03,0.026,Biological_Process,pdam_00018214,Cluster_4
NA,NA,NA,NA,BP,GO:0007033,vacuole organization,6,1,0.03,0.026,Biological_Process,pdam_00004236,Cluster_4
NA,NA,NA,NA,BP,GO:0043094,cellular metabolic compound salvage,9,1,0.04,0.0387,Biological_Process,"pdam_00008149,pdam_00021257",Cluster_4
